node,in_degree,out_degree
307828174,1,1
6033577423,1,1
475895247,1,2
249435602,1,2
475895254,2,2
267735,1,1
21370328,1,1
25531874,2,2
15832557,1,1
21370352,1,2
106370593,1,2
106370595,2,2
439227942,1,1
7057315367,1,1
270374439,1,2
1520932406,1,1
24548926,1,1
106370656,2,1
278206059,1,1
278206065,1,1
398976,1,2
2735773320,1,2
27334283,2,1
1221793420,2,2
398990,1,2
2735773328,1,1
398992,2,2
399017,1,1
399040,2,1
281351874,2,1
399044,2,2
399051,1,1
1839044303,2,2
399068,1,2
1839044317,2,2
254482149,1,1
27072233,1,2
27072234,2,1
27367151,1,2
1186928368,1,1
10786547,1,1
27072246,1,1
27072248,2,2
27072251,1,1
27072253,2,2
254482188,1,1
269326096,2,1
196417299,2,1
269326100,2,2
2342229786,1,1
516462365,1,1
271423263,1,1
256612127,2,1
2342229793,1,2
256612130,2,2
2342229800,2,1
196417320,2,2
20420418,1,1
20420427,2,2
20420429,2,1
1186928464,1,1
399187,3,3
399188,3,3
196417365,2,1
399197,2,2
15832933,1,2
1439045488,1,1
1439045492,1,1
399226,3,2
399232,1,1
82745221,1,2
24221575,1,2
21731216,2,2
355571614,1,2
1534039967,2,2
355571631,2,1
2112493513,1,2
2112493519,2,1
270800853,1,2
291182552,2,2
270800860,1,1
270800875,2,2
2362677235,2,2
10786804,1,2
2112493561,2,1
235513,1,1
2362677249,2,2
235522,1,1
178952201,2,1
270800917,1,1
2112493591,1,1
270800922,2,2
2164889641,2,2
1833539637,2,1
110434360,2,1
235576,2,1
2164889673,2,2
21731409,1,1
78551123,2,2
21731412,1,1
341743702,1,1
78551133,1,1
178985063,2,2
178985066,2,1
21043307,1,1
25335917,2,1
26450037,2,3
26450039,2,2
21731449,2,2
2112493691,2,1
310679680,1,2
310679689,2,1
300718235,2,1
25335965,1,2
10787004,2,1
331487424,2,2
178985180,1,2
27433192,1,1
114661622,2,2
25237768,1,2
25237781,1,1
177674541,2,2
180164910,2,1
177674543,2,1
292788538,1,1
17209660,1,1
17209661,1,1
251828545,1,1
17209672,1,2
270768460,1,1
325818711,2,2
1565104481,2,1
289216879,1,1
610572656,1,1
610572655,1,1
17209722,1,1
252156283,1,2
17209725,2,2
7027562878,2,1
17209731,2,1
399748,2,1
399763,1,1
2057673112,1,2
292788635,1,2
307501468,2,1
536680869,2,2
320969127,2,3
292788646,2,2
536680891,1,1
26155459,2,2
1090787780,2,2
27433416,1,2
235977,1,2
235979,1,2
235980,2,1
310155730,2,2
2057673182,2,1
297507302,1,2
297507305,2,2
301767159,2,1
21764600,1,1
21764605,1,2
10787329,1,2
21764611,2,1
10787337,2,1
180165140,2,2
10787352,1,2
343480860,1,1
343480862,2,2
343480868,2,2
319855140,2,3
319855142,2,3
319855147,1,1
1687394860,1,1
319855148,2,2
1370102318,1,1
10787377,2,2
319855156,2,2
236086,2,1
319855160,2,3
1687394882,1,1
236116,1,1
236131,2,1
2057673317,1,1
236142,1,2
236143,2,1
3326319219,1,1
3668613748,2,2
236161,1,1
236162,1,1
236167,1,1
236182,1,2
236185,2,1
236188,1,2
236189,2,1
236190,1,2
236192,1,1
236193,1,1
236195,1,1
236198,2,1
236208,1,2
236211,3,3
343481012,1,1
5905079,2,1
236229,2,3
236230,3,2
236231,2,2
236234,1,1
5905100,2,1
236238,1,1
236244,2,2
5905109,1,1
5905113,2,1
2487917276,1,1
248552158,1,1
248552162,2,2
248552164,2,1
5905125,1,2
248552166,1,2
248552167,1,2
5905129,1,2
248552170,2,2
1618156268,1,2
248552174,1,1
1618156278,1,2
21961476,1,1
21961479,2,1
137994,1,1
1085348625,2,2
221518614,2,1
1965398813,1,1
1965398841,1,1
374217530,1,1
154868546,2,1
374217538,1,2
154868564,3,3
38083413,1,1
564059,1,2
564060,2,1
564062,2,1
25074528,2,3
180165473,1,2
564068,1,1
310680421,1,1
310680422,1,2
20421481,1,2
20421482,2,2
310680429,2,1
20421487,2,2
20421488,1,1
20421497,2,1
334732163,1,1
4284980105,2,2
138131,1,1
138136,1,1
564121,1,1
24517533,2,2
564127,1,1
564129,1,1
268573602,1,2
69475235,2,2
24517540,1,2
564134,1,1
564138,1,1
564144,1,1
24517556,2,1
564148,1,1
564156,1,1
25074628,1,1
564169,1,1
2164104142,2,2
564183,1,2
25074650,2,2
25369573,2,2
25369574,2,1
70917097,1,1
138219,1,1
2164104183,1,2
56204304,2,2
56204310,1,1
20913177,2,2
20913179,1,2
3339394076,2,2
281254943,1,1
180395046,2,2
2164104235,2,2
638295114,1,1
638295115,1,1
281254993,2,3
138371,1,1
281353356,1,1
264805517,2,2
249502871,1,2
94641311,2,2
15735989,1,1
25599162,1,1
20913353,1,1
594910438,1,1
177675494,1,2
21306614,1,1
330734844,1,1
247045377,1,1
330734854,2,2
330734858,2,3
374217995,2,1
27434254,2,2
236823,2,1
236827,1,1
310156573,3,2
27434271,1,1
59972898,2,1
236842,1,1
270376234,1,1
59972908,2,2
138546,2,2
138552,1,2
138553,2,1
138554,1,2
177478972,2,1
27434301,2,2
138560,2,1
138561,1,2
138574,2,1
138575,1,2
138578,3,2
319528276,1,1
313400662,3,2
319528278,1,1
319528283,1,1
281353564,1,1
335977827,2,1
59972967,2,1
267820396,1,2
25599346,1,1
21732724,1,2
138620,1,2
105618815,1,2
138627,1,1
253271428,2,2
268803461,1,2
253271431,1,1
21732743,2,1
334667145,1,1
105618828,2,2
272801175,1,1
374218135,1,1
21437847,2,2
21437851,2,2
288103836,2,1
21732797,2,1
251829695,1,2
251829696,2,1
251829697,1,1
251829706,1,1
21732810,1,2
2913115597,1,1
2913115599,1,1
251829717,1,1
3671858647,1,1
21306855,1,1
21306856,1,1
650026485,1,1
21306872,1,2
21732856,1,1
650026493,1,1
268344833,2,1
443489838,2,1
2146213432,2,1
335978042,1,2
273489469,2,2
335978052,2,1
36806213,1,2
1550982726,1,2
481238614,1,2
31497826,2,1
21306988,1,2
335978112,2,1
1448386177,2,2
271687296,1,1
367369867,2,2
564881,1,1
10788504,2,1
1583881888,1,2
1448386210,1,1
10788517,2,1
10788530,2,1
597237437,2,3
1582603971,1,1
3316981454,1,2
3291848437,1,1
20946687,1,2
20946688,2,1
20946691,2,2
177479428,1,2
271425302,1,1
20946725,1,2
20946726,2,1
20946749,1,2
20946750,2,1
20946751,2,1
20946762,2,1
20946763,1,2
21307212,1,2
1685004114,1,2
20946772,1,1
1504124758,2,2
124329836,2,1
124329840,1,2
237437,1,2
237440,2,2
237445,2,3
17211293,1,1
2982682527,1,1
237475,2,1
245145513,1,2
3316981676,2,1
245145522,1,1
245145528,1,2
237501,1,2
428908477,1,1
428908478,1,1
428908480,1,2
428908479,2,1
473604034,1,1
237514,1,1
588029903,2,2
5604941776,1,1
901586897,2,2
3316981716,2,1
237527,1,1
237528,1,1
473604058,2,2
5604941790,1,1
5604941794,1,1
260972524,1,1
237549,2,1
269746172,1,1
142745591,1,2
3218710522,2,2
3316621306,2,2
447750138,2,1
3218710529,2,2
258973699,1,1
447750149,1,2
3316621319,2,2
139273,1,1
473604109,2,2
260972561,1,1
21438480,2,2
17211413,3,2
27467801,2,2
27467802,2,1
592519195,1,1
21438486,2,2
139299,1,2
139300,2,1
139302,2,2
592519206,1,1
139305,1,1
247177258,2,2
1468801070,2,3
1099538478,1,2
247177274,1,1
5301313595,1,1
17211455,2,2
592519236,1,1
592519245,1,1
2039887,1,1
2745180239,1,1
270966868,2,1
590815323,1,1
2263294046,2,1
1099538529,1,2
942055532,2,2
270966894,1,2
2232164468,2,2
139392,1,2
2232164480,2,2
139399,2,1
139407,1,1
17211535,2,1
2989891730,2,2
139417,1,2
123412634,1,1
2181046430,2,3
21733535,3,2
901587105,2,2
21733544,1,1
257728685,1,1
1099538607,1,1
2181046445,2,2
303603889,1,2
21733556,2,2
177643706,2,1
434396,1,2
257728735,1,1
434405,2,1
30744807,1,1
30744808,1,2
30744809,2,1
21307620,1,1
434419,2,1
3779207414,2,1
139514,1,1
3779207419,2,1
434430,1,2
434441,1,1
434442,1,1
5906699,1,2
139533,1,2
139534,2,1
434447,2,1
139542,1,2
59220247,1,1
434456,1,2
139544,2,1
139545,1,2
5906718,2,1
434477,1,2
271393072,2,1
139570,1,1
5906736,2,1
139573,1,1
5906759,2,1
5906761,1,2
434527,1,1
120103264,1,2
120103273,1,2
331096431,2,2
177480052,2,1
331096438,1,1
303604087,2,1
271393172,1,1
434597,2,1
2937201070,1,1
434607,1,2
330113465,1,1
895295949,2,2
20914673,1,2
20914674,1,2
26583544,1,1
4596227,2,1
258941445,1,2
1570972171,1,1
4596236,1,1
517677584,1,1
